Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
Bakery,Product_53,218,15,139,185,829,1,5
Fruits,Product_54,320,5,172,304,1404,0,6
Vegetables,Product_55,202,15,149,172,1935,1,1
Beverages,Product_56,127,10,13,114,498,1,9
Bakery,Product_57,390,40,140,234,1937,0,2
Fruits,Product_58,87,5,147,83,1170,1,9
Vegetables,Product_59,484,50,187,242,250,1,6
Dairy,Product_60,436,15,65,371,183,0,4
Fruits,Product_61,108,50,175,54,1410,1,8
Snacks,Product_62,64,15,65,54,261,0,7
Bakery,Product_63,238,40,5,143,1803,1,9
Snacks,Product_64,171,25,108,128,513,1,4
Fruits,Product_65,489,30,72,342,668,1,4
Dairy,Product_66,174,40,101,104,1773,1,7
Fruits,Product_67,417,10,44,375,1006,0,1
Snacks,Product_68,166,40,143,100,1003,1,10
Beverages,Product_69,74,10,125,67,978,0,8
Vegetables,Product_70,244,40,17,146,1206,0,3
Bakery,Product_71,450,40,57,270,902,1,10
Beverages,Product_72,234,50,54,117,1778,1,10
Beverages,Product_73,185,5,148,176,285,0,8
Snacks,Product_74,390,30,191,273,421,1,8
Beverages,Product_75,105,40,168,63,609,0,7
Bakery,Product_76,59,40,69,35,1270,0,6
Beverages,Product_77,127,30,113,89,149,1,8
Beverages,Product_78,48,50,143,24,958,0,2
Snacks,Product_79,286,20,27,229,832,0,10
Fruits,Product_80,414,40,29,248,1401,0,5
Beverages,Product_81,107,50,121,54,1731,1,2
Fruits,Product_82,39,30,159,27,614,0,1
Bakery,Product_83,319,15,155,271,442,1,3
Vegetables,Product_84,180,10,77,162,1154,0,10
Bakery,Product_85,447,20,6,358,826,1,2
Vegetables,Product_86,417,25,104,313,1378,0,5
Beverages,Product_87,199,10,101,179,1036,0,1
Snacks,Product_88,222,40,197,133,1700,0,3
Beverages,Product_89,44,40,52,26,1572,0,4
Beverages,Product_90,168,40,181,101,1178,0,2
Dairy,Product_91,418,40,136,251,568,1,1
Fruits,Product_92,147,15,34,125,435,0,6
Beverages,Product_93,134,25,7,100,1377,1,10
Vegetables,Product_94,171,50,146,86,1026,0,2
Snacks,Product_95,185,15,37,157,881,0,7
Beverages,Product_96,298,20,32,238,511,0,5
Beverages,Product_97,174,10,112,157,171,0,8
Dairy,Product_98,167,30,89,117,253,0,3
Snacks,Product_99,90,40,139,54,502,0,5
Bakery,Product_100,194,10,176,175,495,1,4
Vegetables,Product_101,436,20,165,349,54,1,7
Fruits,Product_102,207,30,77,145,970,1,2
Dairy,Product_103,414,10,83,373,1250,1,4
Dairy,Product_104,234,50,114,117,280,0,5
Dairy,Product_105,109,5,35,104,1789,1,10
Fruits,Product_106,336,50,17,168,830,1,2
Dairy,Product_107,291,40,164,175,833,0,4
Bakery,Product_108,331,10,159,298,901,0,8
Snacks,Product_109,175,15,79,149,1017,0,9
Beverages,Product_110,202,50,184,101,486,0,2
Fruits,Product_111,34,5,41,32,1332,1,5
Vegetables,Product_112,297,25,142,223,1935,1,9
Snacks,Product_113,106,20,111,85,623,0,3
Vegetables,Product_114,408,20,93,326,537,0,5
Dairy,Product_115,457,15,148,388,1086,0,7
Bakery,Product_116,281,10,121,253,1065,0,1
Bakery,Product_117,100,20,43,80,192,0,5
Snacks,Product_118,185,40,99,111,177,1,7
Snacks,Product_119,52,40,110,31,958,1,9
Bakery,Product_120,491,50,6,246,601,1,8
Dairy,Product_121,295,15,21,251,1120,1,5
Snacks,Product_122,452,50,57,226,969,0,2
Vegetables,Product_123,371,50,177,186,926,0,9
Snacks,Product_124,269,10,150,242,1359,1,4
Bakery,Product_125,124,10,35,112,1880,1,6
Bakery,Product_126,287,30,125,201,1937,0,9
Dairy,Product_127,323,30,183,226,1560,1,1
Bakery,Product_128,228,25,15,171,1477,0,4
Dairy,Product_129,469,25,119,352,1813,1,7
Beverages,Product_130,156,10,15,140,997,1,2
Fruits,Product_131,446,20,149,357,1575,0,2
Beverages,Product_132,454,15,26,386,627,0,7
Beverages,Product_133,122,25,25,92,309,0,9
Dairy,Product_134,332,10,194,299,707,0,8
Fruits,Product_135,61,5,43,58,560,1,9
Vegetables,Product_136,393,20,128,314,1299,0,9
Beverages,Product_137,314,40,171,188,1847,1,10
Beverages,Product_138,115,50,68,58,569,1,3
Beverages,Product_139,175,50,184,88,968,1,1
Snacks,Product_140,262,40,91,157,515,0,1
Snacks,Product_141,463,25,72,347,1867,0,1
Fruits,Product_142,82,30,90,57,1299,0,1
Fruits,Product_143,439,5,28,417,1233,1,3
Snacks,Product_144,483,10,54,435,578,1,5
Dairy,Product_145,419,25,97,314,742,1,9
Fruits,Product_146,291,20,140,233,1414,0,10
Bakery,Product_147,456,20,118,365,1643,1,4
Vegetables,Product_148,55,20,35,44,500,1,2
Bakery,Product_149,350,15,97,298,921,1,7
Dairy,Product_150,118,30,129,83,1380,0,7
Fruits,Product_151,375,5,199,356,123,0,2
Fruits,Product_152,139,20,90,111,1303,0,6
Fruits,Product_153,200,5,57,190,130,1,10
Fruits,Product_154,454,20,23,363,917,1,5
Snacks,Product_155,199,5,57,189,1902,1,3
Vegetables,Product_156,279,30,61,195,1303,0,7
Vegetables,Product_157,487,50,111,244,1551,1,3
Bakery,Product_158,119,30,105,83,1419,0,1
Vegetables,Product_159,191,50,88,96,1273,1,3
Beverages,Product_160,362,25,147,272,1874,1,8
Bakery,Product_161,360,25,131,270,1298,1,5
Dairy,Product_162,319,5,162,303,225,0,4
Beverages,Product_163,389,20,61,311,1597,0,2
Fruits,Product_164,26,15,143,22,1190,0,1
Fruits,Product_165,50,30,150,35,1616,1,6
Dairy,Product_166,61,50,170,30,1502,1,4
Bakery,Product_167,401,30,76,281,897,0,2
Bakery,Product_168,131,25,90,98,1480,0,6
Bakery,Product_169,55,10,160,50,1984,0,8
Vegetables,Product_170,269,15,52,229,1620,0,1
Vegetables,Product_171,338,5,43,321,634,0,6
Snacks,Product_172,371,25,177,278,1566,1,2
Beverages,Product_173,331,30,102,232,1586,1,7
Dairy,Product_174,77,30,92,54,269,1,6
Dairy,Product_175,316,30,198,221,1743,1,8
Beverages,Product_176,204,25,174,153,203,0,3
Bakery,Product_177,307,10,42,276,1195,1,3
Vegetables,Product_178,289,20,145,231,829,1,9
Beverages,Product_179,433,10,110,390,92,0,9
Bakery,Product_180,292,25,154,219,1550,1,5
Fruits,Product_181,458,30,73,321,1148,0,4
Fruits,Product_182,393,50,84,196,658,1,6
Bakery,Product_183,249,40,38,149,654,1,5
Fruits,Product_184,487,10,198,438,1604,0,4
Fruits,Product_185,236,25,22,177,451,0,5
Snacks,Product_186,457,5,133,434,888,1,4
Beverages,Product_187,74,50,142,37,543,1,8
Vegetables,Product_188,374,10,38,337,790,1,9
Snacks,Product_189,226,20,146,181,1560,1,4
Vegetables,Product_190,120,40,117,72,1504,0,7
Vegetables,Product_191,284,15,129,241,171,0,5
Fruits,Product_192,93,15,15,79,369,0,5
Fruits,Product_193,228,5,126,217,81,0,1
Bakery,Product_194,119,5,198,113,961,0,4
Snacks,Product_195,32,20,162,26,798,1,9
Bakery,Product_196,399,40,157,239,206,0,7
Dairy,Product_197,147,5,31,140,954,1,3
Bakery,Product_198,153,50,196,76,809,0,4
Fruits,Product_199,449,15,121,382,1593,1,10
Bakery,Product_200,307,30,20,215,195,1,9
Snacks,Product_201,159,40,99,95,1362,0,4
Fruits,Product_202,100,40,199,60,553,1,3
Beverages,Product_203,59,40,84,35,702,1,5
Snacks,Product_204,232,30,141,162,1846,0,8
Dairy,Product_205,71,20,20,57,242,1,8
Fruits,Product_206,220,20,129,176,1305,0,3
Bakery,Product_207,161,25,72,121,179,1,5
Bakery,Product_208,164,25,166,123,1707,0,5
Bakery,Product_209,162,50,131,81,1673,0,9
Beverages,Product_210,321,40,111,193,1065,1,10
Snacks,Product_211,223,40,56,134,1351,1,9
Vegetables,Product_212,458,40,114,275,1552,0,2
Dairy,Product_213,178,10,113,160,1022,0,4
Beverages,Product_214,352,25,19,264,1433,0,2
Bakery,Product_215,289,20,63,231,1483,0,9
Fruits,Product_216,159,5,106,151,635,0,7
Bakery,Product_217,173,5,133,164,1994,0,7
Beverages,Product_218,91,15,65,77,1070,1,7
Vegetables,Product_219,394,5,47,374,1189,1,7
Snacks,Product_220,157,10,119,141,1926,1,9
Snacks,Product_221,288,50,36,144,673,0,1
Snacks,Product_222,362,25,115,272,1550,1,5
Snacks,Product_223,128,20,105,102,240,1,4
Beverages,Product_224,468,10,96,421,1570,0,3
Vegetables,Product_225,57,50,35,28,741,0,9
Snacks,Product_226,275,20,139,220,1528,1,10
Snacks,Product_227,476,5,67,452,1718,1,5
Snacks,Product_228,179,25,105,134,1815,0,9
Bakery,Product_229,136,50,197,68,1114,1,9
Bakery,Product_230,294,10,3,265,247,1,6
Snacks,Product_231,401,15,193,341,594,0,7
Snacks,Product_232,442,25,171,332,834,0,4
Dairy,Product_233,228,40,104,137,490,1,8
Fruits,Product_234,260,10,162,234,1490,0,4
Bakery,Product_235,87,25,119,65,920,0,3
Fruits,Product_236,373,5,57,354,1039,0,7
Fruits,Product_237,443,40,43,266,1505,1,7
Bakery,Product_238,234,15,96,199,345,0,1
Beverages,Product_239,287,10,54,258,615,0,9
Beverages,Product_240,307,50,120,154,1600,0,10
Beverages,Product_241,458,15,35,389,1077,1,7
Beverages,Product_242,131,15,153,111,1191,0,2
Dairy,Product_243,457,20,83,366,1102,0,10
Bakery,Product_244,459,30,37,321,1606,0,2
Beverages,Product_245,343,5,10,326,1503,0,9
Dairy,Product_246,178,50,140,89,562,0,10
Fruits,Product_247,209,25,28,157,174,0,7
Dairy,Product_248,388,15,190,330,138,0,7
Beverages,Product_249,267,5,56,254,708,0,7
Bakery,Product_250,466,5,85,443,1718,0,3
Vegetables,Product_251,405,20,107,324,139,0,5
Vegetables,Product_252,147,30,123,103,683,1,10
Dairy,Product_253,284,50,110,142,588,1,2
Fruits,Product_254,304,30,25,213,980,1,5
Vegetables,Product_255,273,20,110,218,1821,0,6
Dairy,Product_256,436,20,48,349,1488,0,10
Snacks,Product_257,206,50,165,103,650,1,10
Vegetables,Product_258,63,20,79,50,1189,0,1
Beverages,Product_259,390,15,171,332,1018,1,10
Beverages,Product_260,283,50,101,142,933,1,7
Bakery,Product_261,113,50,23,56,1448,1,3
Beverages,Product_262,322,5,97,306,393,0,9
Snacks,Product_263,299,25,92,224,513,1,9
Beverages,Product_264,478,20,176,382,576,0,3
Beverages,Product_265,265,15,190,225,346,1,6
Bakery,Product_266,274,40,142,164,522,0,9
Fruits,Product_267,119,5,54,113,1047,1,8
Dairy,Product_268,96,25,161,72,282,1,2
Dairy,Product_269,402,50,38,201,1095,1,8
Dairy,Product_270,64,40,33,38,729,1,1
Bakery,Product_271,222,10,120,200,1441,0,4
Beverages,Product_272,377,10,148,339,1470,1,3
Fruits,Product_273,422,10,128,380,1838,1,2
Dairy,Product_274,265,10,16,238,1394,0,1
Beverages,Product_275,321,10,66,289,1490,1,3
Beverages,Product_276,119,15,79,101,1374,0,6
Fruits,Product_277,242,5,159,230,1164,1,10
Snacks,Product_278,436,50,10,218,1209,1,4
Dairy,Product_279,109,20,83,87,191,1,8
Beverages,Product_280,31,30,33,22,1021,0,1
Dairy,Product_281,67,40,174,40,248,1,1
Fruits,Product_282,283,5,80,269,504,0,10
Bakery,Product_283,240,25,68,180,1120,1,5
Snacks,Product_284,317,10,93,285,231,1,6
Bakery,Product_285,446,10,91,401,1983,1,9
Bakery,Product_286,493,20,47,394,1620,0,8
Vegetables,Product_287,440,25,179,330,567,0,1
Snacks,Product_288,400,10,118,360,441,0,6
Beverages,Product_289,309,10,13,278,786,1,1
Fruits,Product_290,476,50,129,238,1272,1,8
Fruits,Product_291,496,10,66,446,1394,1,2
Bakery,Product_292,190,30,195,133,527,1,9
Snacks,Product_293,471,25,184,353,513,1,5
Fruits,Product_294,288,25,198,216,1026,1,7
Dairy,Product_295,46,20,63,37,1425,0,2
Vegetables,Product_296,158,5,167,150,1007,1,9
Fruits,Product_297,355,50,106,178,838,1,10
Beverages,Product_298,490,30,153,343,722,0,10
Dairy,Product_299,22,15,176,19,1488,1,8
Beverages,Product_300,485,10,176,436,1616,0,9
Beverages,Product_301,164,15,135,139,1233,0,1
Vegetables,Product_302,106,10,37,95,992,0,5
Vegetables,Product_303,99,10,44,89,1008,1,8
Dairy,Product_304,175,15,10,149,1060,1,8
Snacks,Product_305,60,15,5,51,513,0,7
Fruits,Product_306,190,15,187,162,1168,1,3
Beverages,Product_307,31,20,105,25,1046,0,10
Snacks,Product_308,47,25,117,35,1083,1,5
Beverages,Product_309,347,5,61,330,742,0,1
Bakery,Product_310,321,10,112,289,1406,0,1
Beverages,Product_311,174,20,168,139,1578,0,4
Fruits,Product_312,239,20,151,191,830,1,1
Dairy,Product_313,43,15,175,37,1348,0,1
Dairy,Product_314,279,40,192,167,1761,0,9
Snacks,Product_315,232,5,138,220,881,1,2
Bakery,Product_316,240,50,90,120,1559,1,7
Vegetables,Product_317,136,50,48,68,852,1,8
Fruits,Product_318,497,10,130,447,1429,0,5
Vegetables,Product_319,93,10,130,84,1914,1,1
Bakery,Product_320,20,20,135,16,1582,0,10
Fruits,Product_321,69,50,138,34,356,0,5
Bakery,Product_322,55,50,71,28,1663,1,3
Snacks,Product_323,79,15,153,67,180,0,1
Fruits,Product_324,453,50,154,226,479,0,3
Dairy,Product_325,370,5,149,352,1613,1,4
Beverages,Product_326,20,25,75,15,1114,0,6
Dairy,Product_327,265,50,84,132,1482,0,10
Bakery,Product_328,246,5,198,234,688,1,10
Vegetables,Product_329,450,25,99,338,1047,0,7
Dairy,Product_330,307,30,109,215,900,0,1
Beverages,Product_331,118,25,165,88,905,0,7
Snacks,Product_332,186,25,101,140,893,0,3
Dairy,Product_333,365,30,31,256,1624,0,9
Bakery,Product_334,208,15,192,177,414,0,7
Snacks,Product_335,313,25,183,235,647,0,9
Snacks,Product_336,435,5,141,413,1073,0,8
Fruits,Product_337,21,15,86,18,1226,1,7
Fruits,Product_338,367,15,104,312,616,0,7
Beverages,Product_339,89,20,97,71,932,0,6
Snacks,Product_340,420,40,174,252,1553,1,5
Vegetables,Product_341,492,50,189,246,466,0,7
Beverages,Product_342,123,50,19,62,1757,1,3
Vegetables,Product_343,263,40,2,158,626,0,9
Snacks,Product_344,92,10,186,83,1558,1,4
Dairy,Product_345,197,10,145,177,210,1,1
Fruits,Product_346,317,5,40,301,1147,1,4
Fruits,Product_347,202,10,100,182,1052,1,3
Bakery,Product_348,343,25,53,257,336,0,4
Dairy,Product_349,133,5,21,126,431,1,8
Dairy,Product_350,464,50,18,232,142,0,6
Beverages,Product_351,185,15,186,157,1559,0,10
Snacks,Product_352,446,15,55,379,1761,1,6
Vegetables,Product_353,378,15,135,321,792,1,4
Bakery,Product_354,248,20,104,198,963,0,9
Bakery,Product_355,95,40,153,57,250,1,1
Beverages,Product_356,136,40,85,82,1808,0,4
Dairy,Product_357,496,30,138,347,1179,1,8
Snacks,Product_358,177,25,172,133,1291,0,4
Snacks,Product_359,395,40,105,237,311,1,1
Snacks,Product_360,41,10,57,37,1012,1,6
Fruits,Product_361,400,25,63,300,1089,1,8
Bakery,Product_362,157,30,9,110,1311,1,2
Bakery,Product_363,132,50,159,66,543,1,4
Snacks,Product_364,165,25,54,124,1774,0,4
Bakery,Product_365,65,30,196,46,1369,1,9
Bakery,Product_366,445,50,157,222,564,1,1
Vegetables,Product_367,127,40,193,76,1657,1,4
Vegetables,Product_368,109,5,63,104,89,0,7
Dairy,Product_369,183,30,158,128,170,0,8
Snacks,Product_370,301,40,153,181,56,0,6
Beverages,Product_371,29,10,113,26,1894,0,8
Bakery,Product_372,331,50,90,166,1088,0,6
Bakery,Product_373,439,5,61,417,1437,1,10
Dairy,Product_374,207,30,23,145,1041,1,8
Fruits,Product_375,129,10,101,116,745,0,9
Bakery,Product_376,363,40,104,218,1920,0,1
Fruits,Product_377,94,40,194,56,817,0,9
Bakery,Product_378,468,10,158,421,1655,1,7
Bakery,Product_379,125,30,166,88,84,0,9
Bakery,Product_380,483,30,156,338,458,1,3
Beverages,Product_381,334,15,45,284,1052,1,9
Vegetables,Product_382,291,15,173,247,1688,0,6
Bakery,Product_383,146,25,186,110,197,0,4
Snacks,Product_384,81,5,137,77,378,1,1
Fruits,Product_385,200,20,14,160,933,1,6
Beverages,Product_386,460,30,96,322,305,0,9
Fruits,Product_387,464,15,159,394,195,0,6
Bakery,Product_388,59,10,196,53,227,0,10
Snacks,Product_389,441,20,6,353,790,1,9
Bakery,Product_390,424,25,37,318,1343,1,3
Bakery,Product_391,348,10,134,313,544,1,4
Vegetables,Product_392,263,5,53,250,297,0,7
Beverages,Product_393,264,15,6,224,861,1,8
Snacks,Product_394,86,5,198,82,1209,1,6
Bakery,Product_395,180,20,194,144,1794,1,9
Vegetables,Product_396,66,5,34,63,1776,0,3
Beverages,Product_397,287,25,174,215,62,1,7
Fruits,Product_398,36,20,52,29,1576,0,8
Vegetables,Product_399,208,10,141,187,1812,1,4
Fruits,Product_400,307,20,32,246,1134,1,5
Fruits,Product_401,221,30,128,155,1591,0,6
Beverages,Product_402,307,15,13,261,171,1,9
Dairy,Product_403,66,15,28,56,931,0,8
Snacks,Product_404,299,10,161,269,1935,1,8
Bakery,Product_405,147,40,167,88,461,0,10
Vegetables,Product_406,484,20,75,387,1698,0,2
Vegetables,Product_407,163,25,142,122,400,1,7
Vegetables,Product_408,385,5,15,366,1392,1,8
Fruits,Product_409,435,30,11,304,353,0,4
Snacks,Product_410,127,50,37,64,454,1,3
Bakery,Product_411,195,25,104,146,1820,1,7
Fruits,Product_412,114,20,118,91,682,0,9
Dairy,Product_413,195,10,88,176,311,0,5
Vegetables,Product_414,290,30,101,203,1281,0,8
Bakery,Product_415,389,40,189,233,490,0,8
Bakery,Product_416,80,5,106,76,1517,1,9
Beverages,Product_417,102,20,92,82,1216,0,7
Bakery,Product_418,461,10,31,415,1026,1,8
Snacks,Product_419,470,40,91,282,1677,1,4
Vegetables,Product_420,211,20,37,169,1669,1,8
Bakery,Product_421,311,10,123,280,255,0,4
Snacks,Product_422,444,40,132,266,1379,1,2
Bakery,Product_423,240,5,110,228,580,1,5
Fruits,Product_424,304,30,54,213,1439,1,2
Fruits,Product_425,181,25,90,136,1834,1,8
Beverages,Product_426,306,15,40,260,435,1,10
Bakery,Product_427,96,10,166,86,156,0,3
Vegetables,Product_428,215,50,105,108,919,0,8
Fruits,Product_429,183,15,3,156,1181,1,2
Beverages,Product_430,494,10,34,445,479,0,4
Beverages,Product_431,251,10,196,226,1609,0,5
Snacks,Product_432,172,25,93,129,610,1,6
Beverages,Product_433,114,20,85,91,1379,1,10
Bakery,Product_434,85,30,49,60,1183,1,4
Dairy,Product_435,22,50,75,11,1473,1,9
Dairy,Product_436,382,5,124,363,1730,1,6
Vegetables,Product_437,489,30,126,342,1634,0,6
Beverages,Product_438,94,25,100,70,1716,1,8
Dairy,Product_439,313,50,96,156,1632,0,6
Vegetables,Product_440,265,50,3,132,1882,1,4
Vegetables,Product_441,107,40,60,64,294,0,2
Vegetables,Product_442,249,5,40,237,1749,0,10
Fruits,Product_443,305,15,59,259,1535,1,5
Fruits,Product_444,346,20,118,277,74,1,6
Bakery,Product_445,374,25,44,280,402,1,3
Bakery,Product_446,64,50,160,32,1385,0,4
Snacks,Product_447,203,50,94,102,1934,1,9
Beverages,Product_448,112,30,145,78,1483,1,4
Bakery,Product_449,404,5,20,384,763,0,10
Dairy,Product_450,352,50,170,176,659,0,6
Beverages,Product_451,142,40,197,85,422,1,5
Vegetables,Product_452,360,20,35,288,689,1,10
Dairy,Product_453,418,15,53,355,1995,0,9
Dairy,Product_454,351,40,128,211,207,1,10
Snacks,Product_455,493,40,141,296,964,0,9
Fruits,Product_456,410,40,9,246,1669,1,3
Vegetables,Product_457,393,25,94,295,434,1,2
Dairy,Product_458,21,10,42,19,724,1,5
Snacks,Product_459,499,40,101,299,1559,1,3
Vegetables,Product_460,362,15,53,308,381,0,4
Bakery,Product_461,181,40,3,109,1993,0,4
Beverages,Product_462,55,20,90,44,65,0,1
Vegetables,Product_463,285,5,81,271,112,0,8
Bakery,Product_464,338,25,123,254,585,1,2
Vegetables,Product_465,114,20,187,91,1074,1,6
Bakery,Product_466,120,30,5,84,1399,1,10
Vegetables,Product_467,484,15,17,411,485,1,5
Fruits,Product_468,416,40,29,250,700,1,6
Vegetables,Product_469,101,50,186,50,272,0,7
Bakery,Product_470,81,50,44,40,483,0,5
Beverages,Product_471,407,10,106,366,1770,1,4
Dairy,Product_472,284,10,98,256,532,1,5
Fruits,Product_473,258,20,121,206,1944,0,2
Vegetables,Product_474,444,50,135,222,940,1,1
Snacks,Product_475,57,15,120,48,308,0,7
Dairy,Product_476,422,40,158,253,486,1,9
Vegetables,Product_477,411,25,98,308,1328,1,3
Snacks,Product_478,298,50,12,149,1517,1,5
Snacks,Product_479,421,5,96,400,909,1,4
Vegetables,Product_480,450,50,83,225,1492,1,3
Dairy,Product_481,385,20,70,308,136,0,10
Bakery,Product_482,437,20,23,350,1653,1,4
Dairy,Product_483,196,30,106,137,771,1,1
Bakery,Product_484,191,15,19,162,1184,1,3
Bakery,Product_485,284,40,116,170,1971,0,8
Bakery,Product_486,167,40,131,100,1888,0,7
Snacks,Product_487,45,20,100,36,1305,0,7
Dairy,Product_488,52,15,15,44,516,1,10
Vegetables,Product_489,243,15,7,207,895,0,7
Dairy,Product_490,218,50,47,109,798,0,6
Beverages,Product_491,169,50,77,84,1492,1,5
Fruits,Product_492,377,15,166,320,102,1,4
Fruits,Product_493,373,40,170,224,1268,0,1
Fruits,Product_494,292,5,180,277,413,0,9
Beverages,Product_495,352,20,142,282,370,0,9
Dairy,Product_496,322,30,180,225,810,0,8
Vegetables,Product_497,83,20,98,66,1171,1,7
Dairy,Product_498,408,40,171,245,937,1,10
Beverages,Product_499,485,50,65,242,1523,1,2
Bakery,Product_500,149,40,106,89,174,1,3
Vegetables,Product_501,405,15,35,344,1982,1,8
Snacks,Product_502,429,5,69,408,1069,0,7
Vegetables,Product_503,171,15,162,145,336,0,5
Bakery,Product_504,447,25,120,335,604,1,5
Fruits,Product_505,350,50,74,175,1848,1,2
Vegetables,Product_506,448,25,110,336,461,1,3
Vegetables,Product_507,410,30,121,287,1984,1,4
Dairy,Product_508,422,30,185,295,204,0,7
Dairy,Product_509,169,30,100,118,183,0,10
Vegetables,Product_510,112,30,34,78,790,0,3
Snacks,Product_511,23,30,8,16,1962,0,3
Fruits,Product_512,208,30,50,146,1379,1,5
Dairy,Product_513,468,15,108,398,566,0,6
Bakery,Product_514,145,15,121,123,361,1,2
Bakery,Product_515,146,20,132,117,1974,1,2
Beverages,Product_516,108,15,3,92,900,0,9
Beverages,Product_517,123,15,170,105,1208,1,5
Dairy,Product_518,316,10,3,284,777,0,10
Beverages,Product_519,470,5,154,446,1951,1,6
Vegetables,Product_520,263,30,122,184,104,0,1
Bakery,Product_521,160,50,98,80,930,1,10
Bakery,Product_522,358,30,121,251,1746,0,1
Beverages,Product_523,377,10,196,339,321,0,1
Dairy,Product_524,493,5,155,468,1397,1,2
Beverages,Product_525,119,40,77,71,1360,1,2
Bakery,Product_526,300,20,44,240,1998,0,7
Snacks,Product_527,187,15,134,159,950,0,6
Vegetables,Product_528,76,5,97,72,1814,1,4
Vegetables,Product_529,137,40,119,82,1623,1,4
Dairy,Product_530,295,30,63,206,482,0,9
Bakery,Product_531,429,50,125,214,1918,0,2
Bakery,Product_532,210,50,61,105,757,1,7
Beverages,Product_533,158,25,137,118,1965,1,8
Vegetables,Product_534,335,10,36,302,906,0,7
Dairy,Product_535,78,20,83,62,898,0,3
Bakery,Product_536,434,10,86,391,1972,1,1
Snacks,Product_537,274,25,93,206,1694,1,3
Beverages,Product_538,225,10,199,202,262,0,8
Vegetables,Product_539,408,50,157,204,881,0,5
Vegetables,Product_540,237,50,150,118,1598,1,9
Snacks,Product_541,311,10,57,280,170,1,8
Beverages,Product_542,196,25,89,147,998,0,3
Beverages,Product_543,418,15,39,355,1330,1,6
Bakery,Product_544,343,40,191,206,117,1,2
Snacks,Product_545,97,10,183,87,1473,1,9
Fruits,Product_546,327,10,134,294,307,1,1
Beverages,Product_547,453,50,188,226,1106,1,10
Beverages,Product_548,323,25,170,242,987,1,6
Fruits,Product_549,447,30,18,313,431,0,5
Fruits,Product_550,352,20,19,282,1849,0,5
Fruits,Product_551,195,15,111,166,1918,1,2
Vegetables,Product_552,291,15,10,247,754,1,3
Snacks,Product_553,78,50,11,39,1555,1,3
Fruits,Product_554,56,5,70,53,694,0,8
Bakery,Product_555,404,10,182,364,333,0,8
Beverages,Product_556,219,20,85,175,231,0,6
Fruits,Product_557,331,40,2,199,1862,0,1
Bakery,Product_558,302,30,200,211,553,1,7
Vegetables,Product_559,57,5,48,54,745,1,4
Beverages,Product_560,381,25,130,286,73,0,1
Vegetables,Product_561,339,30,112,237,1681,1,6
Vegetables,Product_562,104,10,171,94,1250,0,1
Fruits,Product_563,232,15,11,197,1437,0,5
